12	1	1
24	2	1
10	5	1
8	5	1
9	5	2
28	5	1
11	5	1
14	5	1
30	5	1
16	5	1
8	6	1
29	7	1
7	8	1
10	8	1
6	8	1
29	8	1
28	9	1
11	10	1
29	10	1
8	10	1
9	11	1
28	11	1
11	12	1
8	12	1
6	13	1
8	13	1
10	13	1
7	13	1
29	15	1
6	15	1
9	16	1
13	16	1
6	16	1
15	16	1
11	16	1
9	17	1
7	17	1
29	17	1
28	21	1
30	21	1
15	21	1
30	22	1
12	23	1
30	24	2
10	24	1
9	24	1
7	24	1
29	24	1
8	24	1
11	24	1
6	24	1
12	25	1
9	25	1
4	27	1
10	32	1
6	33	1
10	33	1
29	33	2
8	33	1
9	33	1
30	33	1
11	33	1
13	37	1
8	38	1
9	38	1
29	38	1
9	41	2
7	41	1
28	41	1
10	41	1
29	41	1
2	42	1
9	43	1
10	44	2
28	44	1
13	44	1
11	46	1
9	47	1
6	47	1
8	47	1
12	48	1
30	48	1
6	49	1
9	51	1
16	52	1
6	52	1
8	52	1
6	53	1
9	53	1
12	53	1
11	54	2
9	55	1
14	56	1
11	56	1
10	56	1
13	56	1
7	57	1
9	57	1
30	57	1
11	59	1
9	59	1
2	60	1
7	61	1
10	61	1
8	61	1
30	61	1
9	62	1
8	64	1
23	65	1
6	67	1
29	67	1
8	67	1
9	68	2
7	68	2
30	68	2
13	68	1
10	68	1
6	68	1
29	68	1
30	69	1
7	69	1
16	69	1
29	69	1
29	70	1
30	70	1
8	70	1
7	70	1
9	70	1
11	70	1
29	71	1
13	74	1
10	74	2
4	75	1
6	76	1
11	77	1
5	78	3
2	80	1
9	81	2
10	81	3
11	81	2
16	81	2
6	81	1
7	82	1
6	82	3
9	82	1
29	82	1
1	84	1
3	84	1
7	89	2
29	89	2
10	89	1
28	89	2
9	89	1
9	90	1
29	91	1
10	91	1
9	91	1
8	91	1
7	91	1
12	91	1
30	93	1
9	93	1
29	93	1
7	93	1
6	93	1
15	94	1
9	96	3
10	96	1
6	96	1
8	96	2
30	96	1
14	96	1
4	98	1
7	99	1
8	99	1
29	99	1
16	99	1
30	99	1
10	99	1
15	102	1
29	102	1
11	102	1
10	103	1
6	105	2
7	110	3
9	110	2
30	110	1
10	110	2
11	111	2
10	111	2
13	111	1
30	111	1
7	113	2
28	113	1
8	113	1
12	114	2
28	114	3
6	114	2
9	114	1
7	114	1
9	115	1
28	115	1
11	115	1
12	115	1
7	119	1
10	119	1
9	119	1
30	119	1
11	119	1
6	119	1
4	120	1
3	120	1
9	121	2
30	121	1
29	121	1
2	122	1
5	122	2
4	122	1
9	127	1
28	127	2
8	127	1
28	128	1
13	128	1
9	128	1
7	129	1
9	129	3
14	129	1
16	129	1
12	130	1
6	130	3
9	130	1
29	130	1
10	130	1
16	131	1
8	131	1
29	131	1
9	131	2
13	133	1
9	133	1
8	133	1
6	133	1
11	133	1
28	133	1
10	133	1
9	134	1
6	134	1
8	136	1
30	136	1
9	136	2
7	136	1
15	136	1
29	136	1
6	136	2
28	136	1
8	137	2
16	137	1
9	137	2
9	140	2
10	140	1
8	141	1
12	141	1
9	141	4
14	141	1
6	142	2
4	143	1
3	143	1
9	146	1
30	146	1
7	146	1
6	147	2
10	147	1
11	147	1
9	148	4
28	148	1
16	148	1
29	151	1
6	151	1
9	151	1
7	151	1
29	153	1
12	154	1
5	156	1
9	157	1
28	159	2
13	159	1
8	159	1
6	162	1
13	163	1
9	164	4
29	164	2
7	164	1
8	164	1
11	164	1
6	164	1
29	165	1
13	165	1
28	165	1
9	165	1
6	166	1
13	168	1
30	170	1
9	170	1
7	170	1
6	170	1
15	170	1
8	170	1
7	171	1
8	172	1
6	172	1
30	175	1
16	175	1
29	175	1
11	175	1
7	175	1
9	176	1
13	176	1
10	179	1
28	179	1
11	179	2
9	180	1
15	180	1
3	181	1
2	182	1
9	183	1
6	185	1
9	186	1
7	186	1
6	187	1
9	187	2
7	187	2
29	187	1
11	187	2
13	187	1
30	187	1
4	189	2
13	192	2
9	193	2
15	193	1
11	193	3
8	193	1
16	193	1
8	194	1
6	196	1
24	197	1
9	199	1
29	200	1
29	203	1
7	204	1
10	205	1
30	208	1
9	208	1
10	208	1
11	209	1
9	210	3
30	210	1
8	210	1
13	210	1
10	210	1
7	210	1
6	210	1
1	212	1
3	212	1
8	213	1
7	213	1
6	213	1
10	213	1
6	216	1
12	216	1
30	216	1
9	216	1
6	218	1
9	219	3
14	219	1
28	219	1
29	219	1
6	219	1
11	219	3
12	221	3
6	221	1
3	222	2
11	224	1
9	224	1
7	224	1
9	227	1
29	228	1
9	229	4
10	229	2
8	229	1
9	230	1
16	231	1
6	231	1
9	231	2
9	233	1
11	233	1
12	234	1
30	234	1
29	236	1
15	237	1
28	237	1
14	237	1
7	237	1
9	237	1
29	237	2
12	237	1
8	238	3
8	240	1
12	241	1
9	241	1
12	247	1
28	247	1
9	247	1
28	248	1
8	250	3
7	250	1
6	250	1
13	250	2
9	250	2
9	251	2
15	251	1
6	251	1
11	251	1
30	251	2
29	251	1
12	251	1
13	252	1
6	252	1
7	252	1
14	253	1
11	255	1
14	255	1
8	256	1
9	256	1
28	257	1
9	257	2
7	257	3
29	257	1
6	258	3
13	258	1
10	258	1
12	258	1
30	258	2
16	258	1
8	258	1
9	260	2
28	260	1
7	261	2
6	261	1
29	261	2
15	261	1
9	261	4
28	262	1
30	262	1
7	262	1
14	262	1
7	263	1
13	263	2
8	263	1
28	263	2
11	263	1
9	263	2
1	264	1
11	265	1
11	266	2
8	266	1
6	266	3
16	266	1
9	266	2
7	266	1
6	267	1
15	267	1
28	267	2
7	267	3
30	267	2
29	267	1
16	268	1
28	268	1
30	268	1
12	268	1
8	271	2
15	271	1
9	271	1
14	271	1
9	272	2
8	272	1
7	272	1
30	272	1
9	274	1
30	274	1
9	275	1
28	275	1
7	275	1
10	276	1
10	277	1
15	277	2
6	277	1
7	277	1
28	279	1
12	280	1
7	280	1
6	280	1
29	280	1
29	281	1
16	281	1
6	281	2
14	281	1
9	281	1
30	282	1
12	282	1
10	282	1
9	282	1
29	282	1
7	282	1
6	282	1
14	283	1
10	283	1
6	283	1
11	283	1
9	287	1
